Price,Close,High,Low,Open,Volume,SMA_50,Upper_Band,Lower_Band
Ticker,,AAPL,AAPL,AAPL,AAPL,,,
Date,,AAPL,AAPL,AAPL,AAPL,,,
2010-09-08,7.920907020568848,7.96519304723804,7.8058220774768445,7.826308688833024,526551200,7.635765209197998,8.038363683592694,7.233166734803302
2010-09-09,7.925430297851562,8.029366967458364,7.920911592032002,7.9847800435945,438575200,7.6399227905273435,8.050189045333438,7.229656535721249
2010-09-10,7.9356689453125,7.968507375638891,7.875114139679023,7.929040924061663,387542400,7.647080860137939,8.065331908159711,7.228829812116167
2010-09-13,8.04503059387207,8.082387737176528,8.006469159947486,8.00827599811235,388780000,7.658263864517212,8.088647288221415,7.227880440813009
2010-09-14,8.075760841369629,8.10920102806607,7.999238901445841,8.020026392406098,408150400,7.670989351272583,8.112453470138615,7.229525232406552
2010-09-15,8.140832901000977,8.14565408562743,8.069131355102217,8.07907379141097,429368800,7.683998041152954,8.141773320882198,7.22622276142371
2010-09-16,8.33213996887207,8.335152707430264,8.119144581860018,8.141438847190651,652103200,7.694783477783203,8.187133694178593,7.202433261387814
2010-09-17,8.295988082885742,8.374015994422608,8.245074011836731,8.36588119870064,634477200,7.70519534111023,8.22571591563375,7.18467476658671
2010-09-20,8.532780647277832,8.54935029995296,8.310445464577032,8.317374358031946,658677600,7.7194210720062255,8.289439969313143,7.149402174699308
2010-09-21,8.54904842376709,8.656902001609524,8.519524403815891,8.551760289468875,668074400,7.735376091003418,8.3518059841652,7.118946197841636
2010-09-22,8.668954849243164,8.675883744053538,8.508077866161349,8.51711607969839,585289600,7.757037181854248,8.425913324648928,7.0881610390595675
2010-09-23,8.70419979095459,8.819886472484574,8.616230288420008,8.626171917781628,786116800,7.778842849731445,8.49788140552932,7.059804293933571
2010-09-24,8.806632995605469,8.843086719842022,8.75330954904821,8.800005777080052,649488000,7.803468446731568,8.576381038920152,7.030555854542984
2010-09-27,8.771684646606445,8.879236550627464,8.76716594297285,8.856642227990271,482834800,7.828328952789307,8.64394667533422,7.012711230244395
2010-09-28,8.642134666442871,8.790056351004283,8.284833105538926,8.790056351004283,1035042400,7.853201417922974,8.690870679160502,7.015532156685445
2010-09-29,8.657506942749023,8.731016141467506,8.61623363859638,8.653289109522783,469644000,7.87457932472229,8.738823659245584,7.010334990198994
2010-09-30,8.548450469970703,8.736742202961668,8.473133615880403,8.706615622219463,673391600,7.892360134124756,8.774923442943123,7.009796825306388
2010-10-01,8.511392593383789,8.63370653654403,8.476143961526294,8.620752165565365,448142800,7.906519756317139,8.805816987859004,7.007222524775274
2010-10-04,8.394501686096191,8.522840302344497,8.368290463303257,8.483676317345774,435302000,7.917787189483643,8.82728828643841,7.008286092528874
2010-10-05,8.704803466796875,8.720167218586422,8.49030061762875,8.495724348624934,501967200,7.9356583213806156,8.871353192255103,6.999963450506129
2010-10-06,8.712332725524902,8.796687738119466,8.593934997372497,8.724383671458131,670868800,7.950787830352783,8.911932978539975,6.989642682165592
2010-10-07,8.713239669799805,8.751199356875052,8.643647446474699,8.746981524481216,408399600,7.967815437316895,8.952410143427441,6.983220731206348
2010-10-08,8.859354019165039,8.872308388153211,8.736739223284124,8.788255023252804,658403200,7.989482555389404,9.004072106064253,6.974893004714556
2010-10-11,8.898221015930176,8.954859701101284,8.875325809908306,8.879543644243256,427753200,8.012445211410522,9.056463477962968,6.968426944858078
2010-10-12,8.994017601013184,9.022939871406699,8.811750662914658,8.899720959756886,558544000,8.034552040100097,9.114080025077925,6.955024055122269
2010-10-13,9.042223930358888,9.097054146021208,9.0319806224664,9.04403157292815,630092400,8.057574872970582,9.17311371918952,6.942036026751643
2010-10-14,9.10759735107422,9.112416925848269,9.050054476092914,9.088918381506758,435296400,8.081272478103637,9.234812247614299,6.927732708592975
2010-10-15,9.48207187652588,9.489904993262346,9.185926647131629,9.262146887278828,922194000,8.113230810165405,9.331219400002023,6.895242220328786
2010-10-18,9.580286026000977,9.610411790778306,9.468515480688332,9.594445489412795,1093010800,8.148123502731323,9.431841132922283,6.864405872540363
2010-10-19,9.323907852172852,9.452849801370334,9.038608444321422,9.14043656005194,1232784000,8.176888523101807,9.500438571543404,6.85333847466021
2010-10-20,9.355239868164062,9.46731129575171,9.244976887642457,9.309146188652113,721624400,8.2076900100708,9.568049948415295,6.847330071726306
2010-10-21,9.324811935424805,9.482072810743404,9.24286708427738,9.41037126710673,551460000,8.243438348770141,9.625668535539486,6.861208162000796
2010-10-22,9.263050079345703,9.340475405755054,9.227802264659847,9.311252260341874,372778000,8.27698736190796,9.675381273213958,6.878593450601962
2010-10-25,9.304327011108398,9.387476167896969,9.292276058905951,9.311859258469648,392462000,8.312982711791992,9.722829757348787,6.9031356662351975
2010-10-26,9.280524253845217,9.33143830190915,9.20821937107035,9.244974762086057,392929600,8.349381761550903,9.7633710277141,6.935392495387706
2010-10-27,9.273893356323242,9.33625498105759,9.206710549465377,9.268470431461798,399002800,8.38303921699524,9.803450136187495,6.9626282978029845
2010-10-28,9.195870399475098,9.279019544873547,9.065120803866927,9.277512773819925,551051200,8.414473447799683,9.83590094349772,6.993045952101645
2010-10-29,9.067529678344728,9.215150596403394,9.0642152648952,9.16544163488404,430511200,8.445262908935547,9.854965023720123,7.035560794150971
2010-11-01,9.16393756866455,9.206717648868569,9.104286958129219,9.104889505800678,423889200,8.478125171661377,9.876428691784408,7.079821651538347
2010-11-02,9.319990158081056,9.344995475531999,9.248891970937052,9.248891970937052,433930000,8.516422224044799,9.899584734027568,7.13325971406203
2010-11-03,9.423626899719238,9.426037089616292,9.294985829606395,9.38054515754403,508348400,8.56032886505127,9.91569026770339,7.204967462399151
2010-11-04,9.588419914245604,9.64596199073632,9.490808833367106,9.503462330195235,642488000,8.605747900009156,9.943196874943535,7.268298925074777
2010-11-05,9.55407428741455,9.627583466332434,9.542626690496306,9.579983827396694,361253200,8.652052583694458,9.95624079448113,7.347864372907784
2010-11-08,9.59896469116211,9.6336099660286,9.542928577613136,9.556184622735737,281758400,8.698447675704957,9.967882073059522,7.429013278350392
2010-11-09,9.522442817687988,9.679704499604172,9.474843173432426,9.672172253509684,383544000,8.742782144546508,9.96774124631424,7.517823042778777
2010-11-10,9.58118724822998,9.603480695199071,9.446219058335892,9.539310610600943,384227200,8.787929983139039,9.964882531954455,7.6109774343236225
2010-11-11,9.5396146774292,9.592336371407884,9.467309789533841,9.489904916163164,361284000,8.827890014648437,9.967198643415855,7.688581385881019
